station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth,wind_speed_ms,tmpc,sky_oktas
UNV,2024-04-16 23:35:00,-77.85,40.85,378.0,60.4,35.8,39.72,30.0,5.0,0.0,30.1,,10.0,,CLR,,,,,,,,,,,,,,,60.4,KUNV 170335Z AUTO 03005KT 10SM CLR 16/02 A3010 RMK AO2 T01580021,,2.57222,15.777777777777779,0
UNV,2024-04-16 23:55:00,-77.85,40.85,378.0,57.7,37.4,46.6,30.0,6.0,0.0,30.1,,10.0,,CLR,,,,,,,,,,,,,,,57.7,KUNV 170355Z AUTO 03006KT 10SM CLR 14/03 A3010 RMK AO2 T01430030,,3.086664,14.277777777777779,0
UNV,2024-04-17 00:15:00,-77.85,40.85,378.0,57.0,37.0,47.04,10.0,4.0,0.0,30.09,,10.0,,CLR,,,,,,,,,,,,,,,57.0,KUNV 170415Z AUTO 01004KT 10SM CLR 14/03 A3009 RMK AO2 T01390028,,2.057776,13.88888888888889,0
UNV,2024-04-17 00:35:00,-77.85,40.85,378.0,56.7,37.0,47.55,40.0,5.0,0.0,30.09,,10.0,,CLR,,,,,,,,,,,,,,,56.7,KUNV 170435Z AUTO 04005KT 10SM CLR 14/03 A3009 RMK AO2 T01370027,,2.57222,13.722222222222223,0
UNV,2024-04-17 00:55:00,-77.85,40.85,378.0,55.0,37.0,50.58,0.0,0.0,0.0,30.1,,10.0,,CLR,,,,,,,,,,,,,,,55.0,KUNV 170455Z AUTO 00000KT 10SM CLR 13/03 A3010 RMK AO2 T01280027,,0.0,12.777777777777779,0
UNV,2024-04-17 01:15:00,-77.85,40.85,378.0,54.3,36.5,50.87,20.0,7.0,0.0,30.09,,10.0,,CLR,,,,,,,,,,,,,,,54.3,KUNV 170515Z AUTO 02007KT 10SM CLR 12/03 A3009 RMK AO2 T01240025,,3.601108,12.388888888888888,0
UNV,2024-04-17 01:35:00,-77.85,40.85,378.0,53.8,36.0,50.79,20.0,4.0,0.0,30.1,,10.0,,CLR,,,,,,,,,,,,,,,53.8,KUNV 170535Z AUTO 02004KT 10SM CLR 12/02 A3010 RMK AO2 T01210022,,2.057776,12.111111111111109,0
UNV,2024-04-17 01:55:00,-77.85,40.85,378.0,53.2,36.0,51.92,40.0,6.0,0.0,30.1,,10.0,,CLR,,,,,,,,,,,,,,,53.2,KUNV 170555Z AUTO 04006KT 10SM CLR 12/02 A3010 RMK AO2 LTG DSNT SW T01180022 10208 20118,,3.086664,11.777777777777779,0
UNV,2024-04-17 02:15:00,-77.85,40.85,378.0,52.5,36.5,54.34,50.0,3.0,0.0,30.08,,10.0,,CLR,,,,,,,,,,,,,,,52.5,KUNV 170615Z AUTO 05003KT 10SM CLR 11/03 A3008 RMK AO2 T01140025,,1.543332,11.38888888888889,0
UNV,2024-04-17 02:35:00,-77.85,40.85,378.0,50.0,38.0,63.23,0.0,0.0,0.0,30.09,,10.0,,CLR,,,,,,,,,,,,,,,50.0,KUNV 170635Z AUTO 00000KT 10SM CLR 10/03 A3009 RMK AO2 T01010033,,0.0,10.0,0
UNV,2024-04-17 02:55:00,-77.85,40.85,378.0,52.7,36.7,54.37,40.0,4.0,0.0,30.07,,10.0,,CLR,,,,,,,,,,,,,,,52.7,KUNV 170655Z AUTO 04004KT 10SM CLR 12/03 A3007 RMK AO2 T01150026,,2.057776,11.500000000000002,0
UNV,2024-04-17 03:15:00,-77.85,40.85,378.0,52.5,35.8,52.85,20.0,3.0,0.0,30.07,,10.0,,CLR,,,,,,,,,,,,,,,52.5,KUNV 170715Z AUTO 02003KT 10SM CLR 11/02 A3007 RMK AO2 T01140021,,1.543332,11.38888888888889,0
UNV,2024-04-17 03:35:00,-77.85,40.85,378.0,52.7,35.6,52.05,30.0,4.0,0.0,30.07,,10.0,,CLR,,,,,,,,,,,,,,,52.7,KUNV 170735Z AUTO 03004KT 10SM CLR 12/02 A3007 RMK AO2 T01150020,,2.057776,11.500000000000002,0
